"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000828(WaistCircumference_PGS_F),"PGP000210|Zubair N et al. Sci Rep (2019)","Waist circumference (female)","waist circumference,<br>female",149,G-E,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000828/ScoringFiles/PGS000828.txt.gz  - Check Terms/Licenses"
PGS000829(BMI_PGS_M),"PGP000210|Zubair N et al. Sci Rep (2019)","Body mass index (male)","body mass index,<br>male",290,G-E,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000829/ScoringFiles/PGS000829.txt.gz  - Check Terms/Licenses"
PGS000830(BMI_PGS_F),"PGP000210|Zubair N et al. Sci Rep (2019)","Body mass index (female)","body mass index,<br>female",372,G-E,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000830/ScoringFiles/PGS000830.txt.gz  - Check Terms/Licenses"
PGS000831(Total_cholesterol_PGS),"PGP000210|Zubair N et al. Sci Rep (2019)","Total cholesterol","total cholesterol measurement","1,032",G-E,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000831/ScoringFiles/PGS000831.txt.gz  - Check Terms/Licenses"
PGS000832(T2D-GRS),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes","type II diabetes mellitus",384,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000832/ScoringFiles/PGS000832.txt.gz
PGS000833(T1D),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 1 diabetes","type I diabetes mellitus",66,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000833/ScoringFiles/PGS000833.txt.gz
PGS000834(CIR),"PGP000211|Aly DM et al. Nat Genet (2021)","Corrected insulin response (at 30mins during OGTT)","insulin response measurement",220,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000834/ScoringFiles/PGS000834.txt.gz
PGS000835(ISR),"PGP000211|Aly DM et al. Nat Genet (2021)","Insulin secretion rate","insulin secretion measurement",319,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000835/ScoringFiles/PGS000835.txt.gz
PGS000836(F-INS),"PGP000211|Aly DM et al. Nat Genet (2021)","Fasting Insulin","fasting blood insulin measurement",223,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000836/ScoringFiles/PGS000836.txt.gz
PGS000837(ISI),"PGP000211|Aly DM et al. Nat Genet (2021)","Insulin sensitivity index","insulin sensitivity measurement",219,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000837/ScoringFiles/PGS000837.txt.gz
PGS000838(Fasting_Glucose),"PGP000211|Aly DM et al. Nat Genet (2021)","Fasting Glucose","fasting blood glucose measurement",224,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000838/ScoringFiles/PGS000838.txt.gz
PGS000839(2H_Glucose),"PGP000211|Aly DM et al. Nat Genet (2021)","Two hour glucose during OGTT","glucose tolerance test",219,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000839/ScoringFiles/PGS000839.txt.gz
PGS000840(Fasting_Proinsulin),"PGP000211|Aly DM et al. Nat Genet (2021)","Fasting Proinsulin","proinsulin measurement",223,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000840/ScoringFiles/PGS000840.txt.gz
PGS000841(BMI),"PGP000211|Aly DM et al. Nat Genet (2021)","Body mass index","body mass index",122,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000841/ScoringFiles/PGS000841.txt.gz
PGS000842(WHR),"PGP000211|Aly DM et al. Nat Genet (2021)","Waist-hip ratio","waist-hip ratio",39,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000842/ScoringFiles/PGS000842.txt.gz
PGS000843(WHRadjBMI),"PGP000211|Aly DM et al. Nat Genet (2021)","WHR adjusted for BMI","BMI-adjusted waist-hip ratio",63,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000843/ScoringFiles/PGS000843.txt.gz
PGS000844(VAT_Mass),"PGP000211|Aly DM et al. Nat Genet (2021)","Predicted visceral adipose tissue","visceral adipose tissue measurement",518,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000844/ScoringFiles/PGS000844.txt.gz
PGS000845(HDL),"PGP000211|Aly DM et al. Nat Genet (2021)","High density lipoprotein (HDL)","high density lipoprotein cholesterol measurement",303,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000845/ScoringFiles/PGS000845.txt.gz
PGS000846(LDL),"PGP000211|Aly DM et al. Nat Genet (2021)","Low density lipoprotein (LDL)","low density lipoprotein cholesterol measurement",275,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000846/ScoringFiles/PGS000846.txt.gz
PGS000847(TG),"PGP000211|Aly DM et al. Nat Genet (2021)","Triglycerides (TG)","triglyceride measurement",201,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000847/ScoringFiles/PGS000847.txt.gz
PGS000848(T2D_Adiposity),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with adiposity)","type II diabetes mellitus",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000848/ScoringFiles/PGS000848.txt.gz
PGS000849(T2D_Impaired_Lipids),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with impaired lipids)","type II diabetes mellitus",3,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000849/ScoringFiles/PGS000849.txt.gz
PGS000850(T2D_Insulin_Action),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with insulin action)","type II diabetes mellitus",16,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000850/ScoringFiles/PGS000850.txt.gz
PGS000851(T2D_Insulin_Action_Secretion),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with insulin action/secretion)","type II diabetes mellitus",37,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000851/ScoringFiles/PGS000851.txt.gz
PGS000852(T2D_Insulin_Secretion_1),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with insulin secretion)","type II diabetes mellitus",8,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000852/ScoringFiles/PGS000852.txt.gz
PGS000853(T2D_Insulin_Secretion_2),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with insulin secretion)","type II diabetes mellitus",21,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000853/ScoringFiles/PGS000853.txt.gz
PGS000854(T2D_BetaCell),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with beta cell function)","type II diabetes mellitus",27,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000854/ScoringFiles/PGS000854.txt.gz
PGS000855(T2D_Lipodystrophy),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with lipodystrophy)","type II diabetes mellitus",18,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000855/ScoringFiles/PGS000855.txt.gz
PGS000856(T2D_LiverLipids),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with liver lipids)","type II diabetes mellitus",3,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000856/ScoringFiles/PGS000856.txt.gz
PGS000857(T2D_Obesity),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with obesity)","type II diabetes mellitus",4,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000857/ScoringFiles/PGS000857.txt.gz
PGS000858(T2D_Proinsulin),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes (based on SNPs associated with proinsulin levels)","type II diabetes mellitus",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000858/ScoringFiles/PGS000858.txt.gz
PGS000859(CKD),"PGP000211|Aly DM et al. Nat Genet (2021)","Chronic kidney disease","chronic kidney disease",34,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000859/ScoringFiles/PGS000859.txt.gz
PGS000860(eGFR),"PGP000211|Aly DM et al. Nat Genet (2021)","Estimated glomerular filtration rate","glomerular filtration rate",625,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000860/ScoringFiles/PGS000860.txt.gz
PGS000861(UACR),"PGP000211|Aly DM et al. Nat Genet (2021)","Urine Albumin-to-Creatinine ratio","urinary albumin to creatinine ratio",93,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000861/ScoringFiles/PGS000861.txt.gz
PGS000862(DR),"PGP000211|Aly DM et al. Nat Genet (2021)","Diabetic Retinopathy","diabetic retinopathy",30,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000862/ScoringFiles/PGS000862.txt.gz
PGS000863(Cardiovascular),"PGP000211|Aly DM et al. Nat Genet (2021)","Cardiovascular disease","cardiovascular disease",330,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000863/ScoringFiles/PGS000863.txt.gz
PGS000864(T2D-gPRS),"PGP000211|Aly DM et al. Nat Genet (2021)","Type 2 diabetes","type II diabetes mellitus","389,243",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000864/ScoringFiles/PGS000864.txt.gz
PGS000865(PRS-HFC),"PGP000212|Dongiovanni P et al. J Intern Med (2017)","Hepatic fat content","liver fat measurement",4,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000865/ScoringFiles/PGS000865.txt.gz
PGS000866(PRS-HFC_SOS),"PGP000212|Dongiovanni P et al. J Intern Med (2017)","Hepatic fat content","liver fat measurement",4,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000866/ScoringFiles/PGS000866.txt.gz
PGS000867(GRS10_Allergy),"PGP000213|Arabkhazaeli A et al. Pediatr Allergy Immunol (2017)",Allergy,allergy,10,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000867/ScoringFiles/PGS000867.txt.gz
PGS000868(T2D_221),"PGP000214|Aksit MA et al. J Clin Endocrinol Metab (2020)","Type II diabetes","type II diabetes mellitus",221,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000868/ScoringFiles/PGS000868.txt.gz
PGS000869(T1D_48),"PGP000214|Aksit MA et al. J Clin Endocrinol Metab (2020)","Type I diabetes","type I diabetes mellitus",48,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000869/ScoringFiles/PGS000869.txt.gz
PGS000870(CFRD_18),"PGP000214|Aksit MA et al. J Clin Endocrinol Metab (2020)","Cystic fibrosis related diabetes",complication,18,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000870/ScoringFiles/PGS000870.txt.gz
PGS000871(IS_14),"PGP000214|Aksit MA et al. J Clin Endocrinol Metab (2020)","Insulin secretion","insulin secretion measurement",14,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000871/ScoringFiles/PGS000871.txt.gz
PGS000872(PRS-5),"PGP000215|Bianco C et al. J Hepatol (2020)","Non-alcoholic fatty liver disease","non-alcoholic fatty liver disease",5,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000872/ScoringFiles/PGS000872.txt.gz
PGS000873(SNP143),"PGP000216|Brentnall AR et al. Int J Cancer (2019)","Breast cancer","breast carcinoma",143,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000873/ScoringFiles/PGS000873.txt.gz
PGS000874(PRS41_CLL),"PGP000220|Kleinstern G et al. Blood (2018)","Chronic lymphocytic leukemia","chronic lymphocytic leukemia",41,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000874/ScoringFiles/PGS000874.txt.gz
PGS000875(PGS36_LDLc),"PGP000221|Leal LG et al. Mol Genet Genomic Med (2020)","Low-density lipoprotein cholesterol","low density lipoprotein cholesterol measurement",36,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000875/ScoringFiles/PGS000875.txt.gz
PGS000876(PRS31_AD),"PGP000222|Leonenko G et al. Ann Clin Transl Neurol (2019)","Alzheimer's disease","Alzheimer's disease",31,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000876/ScoringFiles/PGS000876.txt.gz
PGS000877(uwGRS53_IR),"PGP000223|Lotta LA et al. Nat Genet (2016)","Insulin resistance","insulin resistance",53,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000877/ScoringFiles/PGS000877.txt.gz
PGS000878(PRS4_PC),"PGP000224|Oh JJ et al. Front Oncol (2020)","Prostate cancer","prostate carcinoma",4,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000878/ScoringFiles/PGS000878.txt.gz
PGS000879(PRS146_IOP),"PGP000225|Qassim A et al. Ophthalmology (2020)","Intraocular pressure","intraocular pressure measurement",146,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000879/ScoringFiles/PGS000879.txt.gz
PGS000880(PRS18_LC),"PGP000226|Xie J et al. Sleep (2021)","Lung cancer","lung carcinoma",18,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000880/ScoringFiles/PGS000880.txt.gz
PGS000881(GRS72_PCa),"PGP000227|Xu J et al. Prostate (2021)","Prostate cancer","prostate carcinoma",72,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000881/ScoringFiles/PGS000881.txt.gz
PGS000882(25OHD_SBayesR_PGS),"PGP000228|Revez JA et al. Nat Commun (2020)","25-hydroxyvitamin D","vitamin D measurement","1,094,650",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000882/ScoringFiles/PGS000882.txt.gz
PGS000883(eGFR_LDpredPRS),"PGP000229|Yu Z et al. J Am Soc Nephrol (2021)","Estimated glomerular filtration rate","glomerular filtration rate","1,477,661",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000883/ScoringFiles/PGS000883.txt.gz
PGS000884(eGFR_PTPRS),"PGP000229|Yu Z et al. J Am Soc Nephrol (2021)","Estimated glomerular filtration rate","glomerular filtration rate","40,042",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000884/ScoringFiles/PGS000884.txt.gz
PGS000885(eGFR_TOPSNPPRS),"PGP000229|Yu Z et al. J Am Soc Nephrol (2021)","Estimated glomerular filtration rate","glomerular filtration rate","1,460",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000885/ScoringFiles/PGS000885.txt.gz
PGS000898(PRS39_AD),"PGP000231|de Rojas I et al. Nat Commun (2021)","Alzheimer's disease","Alzheimer's disease",40,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000898/ScoringFiles/PGS000898.txt.gz
PGS000899(PRS176_CHD),"PGP000232|Feitosa MF et al. Circ Genom Precis Med (2021)","Coronary heart disease","coronary artery disease",176,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000899/ScoringFiles/PGS000899.txt.gz
PGS000900(PRS_SBP_f),"PGP000233|Kauko A et al. Hypertension (2021)","Systolic blood pressure (female)","systolic blood pressure,<br>female","1,098,015",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000900/ScoringFiles/PGS000900.txt.gz
PGS000901(PRS_SBP_m),"PGP000233|Kauko A et al. Hypertension (2021)","Systolic blood pressure (male)","systolic blood pressure,<br>male","1,098,015",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000901/ScoringFiles/PGS000901.txt.gz
PGS000902(PRS90_PD),"PGP000235|Nalls MA et al. Lancet Neurol (2019)","Parkinson's disease","Parkinson's disease",90,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000902/ScoringFiles/PGS000902.txt.gz
PGS000903(PRS1805_PD),"PGP000235|Nalls MA et al. Lancet Neurol (2019)","Parkinson's disease","Parkinson's disease","1,805",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000903/ScoringFiles/PGS000903.txt.gz
PGS000904(PRS582_PR),"PGP000236|Ntalla I et al. Nat Commun (2020)","PR interval","PR interval",582,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000904/ScoringFiles/PGS000904.txt.gz
PGS000905(PRS743_PR),"PGP000236|Ntalla I et al. Nat Commun (2020)","PR interval","PR interval",743,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000905/ScoringFiles/PGS000905.txt.gz
PGS000906(PRS-5),"PGP000237|Tesi N et al. J Gerontol A Biol Sci Med Sci (2021)",Longevity,longevity,330,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000906/ScoringFiles/PGS000906.txt.gz
PGS000907(PRS_MDD),"PGP000238|Campos AI et al. medRxiv (2021)|Pre","Major depressive disorder","major depressive disorder","1,773,528",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000907/ScoringFiles/PGS000907.txt.gz
PGS000908(PRS_Insomnia),"PGP000238|Campos AI et al. medRxiv (2021)|Pre",Insomnia,insomnia,"2,746,982",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000908/ScoringFiles/PGS000908.txt.gz
PGS000909(PRS_Headaches),"PGP000238|Campos AI et al. medRxiv (2021)|Pre",Headache,Headache,"2,862,172",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000909/ScoringFiles/PGS000909.txt.gz
PGS000910(PRS_BMI),"PGP000238|Campos AI et al. medRxiv (2021)|Pre","Body mass index","body mass index","735,440",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000910/ScoringFiles/PGS000910.txt.gz
PGS000911(PRS_IS),"PGP000239|O'Sullivan JW et al. Circ Genom Precis Med (2021)","Ischemic stroke","stroke,<br>Ischemic stroke","530,933",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000911/ScoringFiles/PGS000911.txt.gz
PGS000912(ukb_dbp_prs),"PGP000240|Vaura F et al. Hypertension (2021)","Diastolic blood pressure","diastolic blood pressure","1,098,015",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000912/ScoringFiles/PGS000912.txt.gz
PGS000913(ukb_sbp_prs),"PGP000240|Vaura F et al. Hypertension (2021)","Systolic blood pressure","systolic blood pressure","1,098,015",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000913/ScoringFiles/PGS000913.txt.gz
PGS000914(PRS6_EC),"PGP000241|Wang M et al. Sci Rep (2021)","Abnormal electrocardiogram","Abnormal EKG",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000914/ScoringFiles/PGS000914.txt.gz
PGS000915(PRS_asthma_standard),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,41,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000915/ScoringFiles/PGS000915.txt.gz
PGS000916(PRS_asthma_lasso_primary_as),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,"1,379,334",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000916/ScoringFiles/PGS000916.txt.gz
PGS000917(PRS_asthma_lasso_primary_afr),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,"1,353,838",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000917/ScoringFiles/PGS000917.txt.gz
PGS000918(PRS_asthma_lasso_primary_eur),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,"1,117,220",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000918/ScoringFiles/PGS000918.txt.gz
PGS000919(PRS_asthma_lasso_primary_his),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,"1,173,854",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000919/ScoringFiles/PGS000919.txt.gz
PGS000920(PRS_asthma_lasso_secondary),"PGP000242|Sordillo JE et al. Clin Exp Allergy (2021)",Asthma,asthma,"405,088",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000920/ScoringFiles/PGS000920.txt.gz
PGS000921(PRS_BMI),"PGP000243|Borisevich D et al. PLoS One (2021)","Body mass index","body mass index","1,947,711",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000921/ScoringFiles/PGS000921.txt.gz
PGS000922(GBE_HC170),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Sarcoidosis,Sarcoidosis,12,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000922/ScoringFiles/PGS000922.txt.gz
PGS000923(GBE_HC639),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Sarcoidosis (time-to-event)",Sarcoidosis,22,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000923/ScoringFiles/PGS000923.txt.gz
PGS000924(GBE_HC702),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Disorders of porphyrin and bilirubin metabolism (time-to-event)","bilirubin metabolism disease,<br>porphyrin metabolism disease",5,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000924/ScoringFiles/PGS000924.txt.gz
PGS000925(GBE_HC1020),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Unspecified acute lower respiratory infection (time-to-event)","respiratory tract infectious disease",402,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000925/ScoringFiles/PGS000925.txt.gz
PGS000926(GBE_QT_FC1001220),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Daytime dozing / sleeping (narcolepsy)",narcolepsy,"4,194",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000926/ScoringFiles/PGS000926.txt.gz
PGS000927(GBE_HC1158),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other dermatitis (time-to-event)",dermatitis,242,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000927/ScoringFiles/PGS000927.txt.gz
PGS000928(GBE_HC644),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other non-toxic goitre (time-to-event)","nontoxic goiter",170,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000928/ScoringFiles/PGS000928.txt.gz
PGS000929(GBE_HC1583),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","All cause dementia (algorithmically-defined)","dementia (disease)",6,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000929/ScoringFiles/PGS000929.txt.gz
PGS000930(GBE_BIN_FC3006152),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Blood clot (diagnosed by doctor)","thrombotic disease",118,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000930/ScoringFiles/PGS000930.txt.gz
PGS000931(GBE_BIN_FC11006152),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Blood clot or deep vein thrombosis (diagnosed by doctor)","deep vein thrombosis,<br>thrombotic disease",534,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000931/ScoringFiles/PGS000931.txt.gz
PGS000932(GBE_HC1248),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other intervertebral disk disorders (time-to-event)","vertebral column disease",111,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000932/ScoringFiles/PGS000932.txt.gz
PGS000933(GBE_HC1024),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Nasal polyp (time-to-event)","Nasal polyposis",433,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000933/ScoringFiles/PGS000933.txt.gz
PGS000934(GBE_HC156),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Nasal polyps","Nasal polyposis",129,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000934/ScoringFiles/PGS000934.txt.gz
PGS000935(GBE_INI2966),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","High blood pressure, age at diagnosis","age at diagnosis,<br>Increased blood pressure",370,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000935/ScoringFiles/PGS000935.txt.gz
PGS000936(GBE_HC269),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","High cholesterol",Hypercholesterolemia,"5,987",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000936/ScoringFiles/PGS000936.txt.gz
PGS000937(GBE_HC401),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Varicose veins","Varicose veins","2,603",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000937/ScoringFiles/PGS000937.txt.gz
PGS000938(GBE_HC990),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Varicose veins of lower extremities (time-to-event)","Varicose veins","2,563",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000938/ScoringFiles/PGS000938.txt.gz
PGS000939(GBE_HC310),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Hiatus hernia","Hiatus hernia","2,553",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000939/ScoringFiles/PGS000939.txt.gz
PGS000940(GBE_HC1132),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Intestinal malabsorption (time-to-event)",Malabsorption,443,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000940/ScoringFiles/PGS000940.txt.gz
PGS000941(GBE_HC868),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Iridocyclitis (time-to-event)",Iridocyclitis,1,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000941/ScoringFiles/PGS000941.txt.gz
PGS000942(GBE_HC225),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Cholecystitis,Cholecystitis,391,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000942/ScoringFiles/PGS000942.txt.gz
PGS000943(GBE_HC1126),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Cholecystitis (time-to-event)",Cholecystitis,5,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000943/ScoringFiles/PGS000943.txt.gz
PGS000944(GBE_HC261),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Eczema, dermatitis","Eczema,<br>dermatitis",598,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000944/ScoringFiles/PGS000944.txt.gz
